"","X121","X68","X142","X43","symbol"
"ENSG00000000005",0,0,0,0,"TNMD"
"ENSG00000000419",165,80,185,52,"DPM1"
"ENSG00000000457",0,1,2,0,"SCYL3"
"ENSG00000000460",4,0,4,1,"C1orf112"
"ENSG00000000938",0,0,0,0,"FGR"
"ENSG00000000971",0,0,0,0,"CFH"
"ENSG00000001036",11,5,17,2,"FUCA2"
"ENSG00000001084",6,4,17,3,"GCLC"
"ENSG00000001167",9,0,17,2,"NFYA"
"ENSG00000001460",6,5,4,1,"STPG1"
"ENSG00000001461",9,3,4,0,"NIPAL3"
"ENSG00000001497",132,71,89,28,"LAS1L"
"ENSG00000001561",13,6,19,0,"ENPP4"
"ENSG00000001617",11,6,19,10,"SEMA3F"
"ENSG00000001626",0,0,0,0,"CFTR"
"ENSG00000001629",24,5,38,0,"ANKIB1"
"ENSG00000001630",0,0,0,0,"CYP51A1"
"ENSG00000001631",2,1,5,1,"KRIT1"
"ENSG00000002016",2,1,3,0,"RAD52"
"ENSG00000002079",1,1,7,2,NA
"ENSG00000002330",1,1,1,0,"BAD"
"ENSG00000002549",79,43,67,25,"LAP3"
"ENSG00000002586",118,57,0,0,"CD99"
"ENSG00000002587",0,0,0,0,"HS3ST1"
"ENSG00000002726",0,0,0,0,"AOC1"
"ENSG00000002745",0,0,0,0,"WNT16"
"ENSG00000002746",5,1,2,0,"HECW1"
"ENSG00000002822",57,47,81,37,"MAD1L1"
"ENSG00000002834",11,4,11,8,"LASP1"
"ENSG00000002919",24,13,28,10,"SNX11"
"ENSG00000002933",1,0,1,1,"TMEM176A"
"ENSG00000003056",29,20,26,10,"M6PR"
"ENSG00000003096",4,2,1,0,"KLHL13"
"ENSG00000003137",7,2,10,4,"CYP26B1"
"ENSG00000003147",1,0,0,0,"ICA1"
"ENSG00000003249",12,5,10,2,"DBNDD1"
"ENSG00000003393",13,6,18,2,"ALS2"
"ENSG00000003400",1,2,3,0,"CASP10"
"ENSG00000003402",11,7,10,3,"CFLAR"
"ENSG00000003436",7,1,35,2,"TFPI"
"ENSG00000003509",11,9,14,4,"NDUFAF7"
"ENSG00000003756",0,2,4,0,"RBM5"
"ENSG00000003987",1,0,1,0,"MTMR7"
"ENSG00000003989",19,14,13,3,"SLC7A2"
"ENSG00000004059",2,3,3,0,"ARF5"
"ENSG00000004139",0,0,0,0,"SARM1"
"ENSG00000004142",137,83,0,0,"POLDIP2"
"ENSG00000004399",8,4,17,4,"PLXND1"
"ENSG00000004455",424,250,254,88,"AK2"
"ENSG00000004468",0,0,0,0,"CD38"
"ENSG00000004478",20,5,24,3,"FKBP4"
"ENSG00000004487",103,57,83,18,"KDM1A"
"ENSG00000004534",30,11,33,12,"RBM6"
"ENSG00000004660",5,5,11,8,"CAMKK1"
"ENSG00000004700",3,0,3,2,"RECQL"
"ENSG00000004766",7,9,13,3,"VPS50"
"ENSG00000004776",0,0,0,0,"HSPB6"
"ENSG00000004777",1,1,3,2,"ARHGAP33"
"ENSG00000004779",407,251,275,73,"NDUFAB1"
"ENSG00000004799",1,0,1,0,"PDK4"
"ENSG00000004809",0,0,0,0,"SLC22A16"
"ENSG00000004838",0,0,0,0,"ZMYND10"
"ENSG00000004846",3,1,4,3,"ABCB5"
"ENSG00000004848",0,0,0,0,"ARX"
"ENSG00000004864",65,29,63,16,"SLC25A13"
"ENSG00000004866",4,1,5,0,"ST7"
"ENSG00000004897",15,5,23,2,"CDC27"
"ENSG00000004939",0,0,0,0,"SLC4A1"
"ENSG00000004948",0,0,0,0,"CALCR"
"ENSG00000004961",52,21,40,11,"HCCS"
"ENSG00000004975",20,9,20,9,"DVL2"
"ENSG00000005001",0,0,1,0,"PRSS22"
"ENSG00000005007",12,16,15,10,"UPF1"
"ENSG00000005020",0,0,0,0,"SKAP2"
"ENSG00000005022",120,60,252,26,"SLC25A5"
"ENSG00000005059",55,31,51,15,"MCUB"
"ENSG00000005073",2,0,4,1,"HOXA11"
"ENSG00000005075",356,206,285,81,"POLR2J"
"ENSG00000005100",13,4,19,1,"DHX33"
"ENSG00000005102",1,0,2,0,"MEOX1"
"ENSG00000005108",0,0,0,0,"THSD7A"
"ENSG00000005156",18,8,15,3,"LIG3"
"ENSG00000005175",45,23,71,19,"RPAP3"
"ENSG00000005187",2,0,2,1,"ACSM3"
